id,text,vertical_id,query_type,complexity,status,search_context_size,prompt_tokens,completion_tokens,total_tokens,request_cost,total_cost,processed_at,error_message,retry_count,created_at,updated_at,vertical_name,vertical_category,response_content_length
40,analytics best practices guide,15,guide,simple,completed,low,4.0,464.0,468.0,0.005,0.005468,2025-08-07 00:24:40.727973,,0,2025-08-07 00:15:08,2025-08-07 00:24:40,marketing,Business,2461.0
41,{product} review: is it worth it?,15,review,simple,completed,low,10.0,313.0,323.0,0.005,0.005323,2025-08-07 00:24:44.940941,,0,2025-08-07 00:15:08,2025-08-07 00:24:44,marketing,Business,1524.0
42,Complete guide to marketing automation,15,guide,medium,completed,low,5.0,822.0,827.0,0.005,0.005827,2025-08-07 00:25:04.918821,,0,2025-08-07 00:15:08,2025-08-07 00:25:04,marketing,Business,4052.0
43,Honest review of {service},15,review,medium,completed,low,7.0,354.0,361.0,0.005,0.005361,2025-08-07 00:25:12.386712,,0,2025-08-07 00:15:08,2025-08-07 00:25:12,marketing,Business,1691.0
44,Complete guide to marketing,15,guide,simple,completed,low,4.0,547.0,551.0,0.005,0.005551,2025-08-07 00:25:20.245971,,0,2025-08-07 00:15:08,2025-08-07 00:25:20,marketing,Business,2738.0
45,User reviews of social media,15,review,complex,completed,low,5.0,275.0,280.0,0.005,0.00528,2025-08-07 00:25:24.025859,,0,2025-08-07 00:15:08,2025-08-07 00:25:24,marketing,Business,1532.0
46,What are the best analytics for multi-channel attribution?,15,best,complex,completed,low,10.0,442.0,452.0,0.005,0.005452,2025-08-07 00:25:31.933986,,0,2025-08-07 00:15:08,2025-08-07 00:25:31,marketing,Business,2514.0
47,How to start with analytics?,15,how_to,simple,completed,low,6.0,315.0,321.0,0.005,0.005321,2025-08-07 00:25:38.610276,,0,2025-08-07 00:15:08,2025-08-07 00:25:38,marketing,Business,1626.0
48,Which influencer marketing is the best for compliance?,15,best,medium,processing,,,,,,,,,0,2025-08-07 00:15:08,2025-08-07 00:25:38,marketing,Business,
49,Comprehensive marketing automation resource,15,guide,medium,completed,low,5.0,384.0,389.0,0.005,0.005389,2025-08-07 00:33:39.811886,,0,2025-08-07 00:15:08,2025-08-07 00:33:39,marketing,Business,2035.0
50,influencer marketing pros and cons,15,review,complex,completed,low,7.0,631.0,638.0,0.005,0.005638,2025-08-07 00:33:47.646508,,0,2025-08-07 00:15:08,2025-08-07 00:33:47,marketing,Business,3039.0
51,Which network security is the best for compliance?,11,best,medium,completed,low,9.0,468.0,477.0,0.005,0.005477,2025-08-07 00:33:54.852590,,0,2025-08-07 00:15:12,2025-08-07 00:33:54,cybersecurity,Technology,2408.0
52,malware protection vs identity theft comparison,11,comparison,medium,completed,low,7.0,366.0,373.0,0.005,0.005373,2025-08-07 00:33:59.364611,,0,2025-08-07 00:15:12,2025-08-07 00:33:59,cybersecurity,Technology,2110.0
53,firewall comparison: which is better?,11,comparison,simple,completed,low,8.0,392.0,400.0,0.005,0.0054,2025-08-07 00:34:08.994388,,0,2025-08-07 00:15:12,2025-08-07 00:34:08,cybersecurity,Technology,2010.0
54,How to get started with network security?,11,how_to,medium,completed,low,8.0,380.0,388.0,0.005,0.005388,2025-08-07 00:34:15.601084,,0,2025-08-07 00:15:12,2025-08-07 00:34:15,cybersecurity,Technology,2037.0
55,hacking guide for beginners,11,guide,simple,completed,low,5.0,424.0,429.0,0.005,0.005429,2025-08-07 00:34:21.719148,,0,2025-08-07 00:15:12,2025-08-07 00:34:21,cybersecurity,Technology,2140.0
56,data breaches reviews and ratings,11,review,complex,completed,low,5.0,388.0,393.0,0.005,0.005393,2025-08-07 00:34:26.940353,,0,2025-08-07 00:15:12,2025-08-07 00:34:26,cybersecurity,Technology,2240.0
57,Step-by-step identity theft guide,11,guide,complex,completed,low,6.0,524.0,530.0,0.005,0.00553,2025-08-07 00:34:33.399028,,0,2025-08-07 00:15:12,2025-08-07 00:34:33,cybersecurity,Technology,2540.0
58,Best identity theft tools for professionals,11,best,simple,completed,low,6.0,358.0,364.0,0.005,0.005364,2025-08-07 00:34:37.986105,,0,2025-08-07 00:15:12,2025-08-07 00:34:37,cybersecurity,Technology,1870.0
59,Honest review of {service},11,review,simple,completed,low,7.0,257.0,264.0,0.005,0.005264,2025-08-07 00:34:45.295394,,0,2025-08-07 00:15:12,2025-08-07 00:34:45,cybersecurity,Technology,1392.0
60,How to get started with malware protection?,11,how_to,medium,completed,low,8.0,260.0,268.0,0.005,0.005268,2025-08-07 00:34:53.790337,,0,2025-08-07 00:15:12,2025-08-07 00:34:53,cybersecurity,Technology,1453.0
61,How to choose the right medical devices?,6,how_to,simple,completed,low,8.0,575.0,583.0,0.005,0.005583,2025-08-07 00:35:00.211572,,0,2025-08-07 00:18:53,2025-08-07 00:35:00,medical,Health,2744.0
62,Step-by-step pharmaceuticals guide,6,guide,simple,completed,low,6.0,652.0,658.0,0.005,0.005658,2025-08-07 00:35:06.889158,,0,2025-08-07 00:18:53,2025-08-07 00:35:06,medical,Health,3283.0
63,{service_a} or {service_b}: which to choose?,6,comparison,simple,completed,low,13.0,261.0,274.0,0.005,0.005274,2025-08-07 00:35:10.891305,,0,2025-08-07 00:18:53,2025-08-07 00:35:10,medical,Health,1217.0
64,treatment or doctor: which to choose?,6,comparison,medium,completed,low,9.0,311.0,320.0,0.005,0.00532,2025-08-07 00:35:15.554167,,0,2025-08-07 00:18:53,2025-08-07 00:35:15,medical,Health,1532.0
65,Step-by-step pharmaceuticals guide,6,guide,medium,completed,low,6.0,584.0,590.0,0.005,0.00559,2025-08-07 00:35:21.326048,,0,2025-08-07 00:18:53,2025-08-07 00:35:21,medical,Health,2807.0
66,medical devices reviews and ratings,6,review,complex,completed,low,5.0,246.0,251.0,0.005,0.005251,2025-08-07 00:35:27.328198,,0,2025-08-07 00:18:53,2025-08-07 00:35:27,medical,Health,1456.0
67,Honest review of {service},6,review,simple,completed,low,7.0,181.0,188.0,0.005,0.005188,2025-08-07 00:35:31.598376,,0,2025-08-07 00:18:53,2025-08-07 00:35:31,medical,Health,1034.0
68,Comparing medical devices solutions for scaling businesses,6,comparison,medium,processing,,,,,,,,,0,2025-08-07 00:18:53,2025-08-07 00:35:31,medical,Health,
69,Comprehensive medical resource,6,guide,simple,completed,low,4.0,331.0,335.0,0.005,0.005335,2025-08-07 00:35:47.969913,,0,2025-08-07 00:18:53,2025-08-07 00:35:47,medical,Health,1796.0
70,pharmaceuticals guide for beginners,6,guide,simple,completed,low,7.0,416.0,423.0,0.005,0.005423,2025-08-07 00:35:54.258408,,0,2025-08-07 00:18:53,2025-08-07 00:35:54,medical,Health,2145.0
71,Top 12 pharmaceuticals in 2024,6,best,medium,completed,low,9.0,382.0,391.0,0.005,0.005391,2025-08-07 00:35:58.895633,,0,2025-08-07 00:18:53,2025-08-07 00:35:58,medical,Health,1470.0
72,Difference between {concept_a} and {concept_b},6,comparison,medium,completed,low,11.0,280.0,291.0,0.005,0.005291,2025-08-07 00:36:03.755873,,0,2025-08-07 00:18:53,2025-08-07 00:36:03,medical,Health,1537.0
73,Step-by-step clinical trials guide,6,guide,complex,completed,low,6.0,715.0,721.0,0.005,0.005721,2025-08-07 00:36:22.548813,,0,2025-08-07 00:18:53,2025-08-07 00:36:22,medical,Health,3259.0
74,clinical trials vs clinical trials comparison,6,comparison,medium,completed,low,6.0,320.0,326.0,0.005,0.005326,2025-08-07 00:36:30.473745,,0,2025-08-07 00:18:53,2025-08-07 00:36:30,medical,Health,1888.0
75,Top professional telehealth in 2024,6,best,complex,completed,low,8.0,320.0,328.0,0.005,0.005328,2025-08-07 00:36:35.162318,,0,2025-08-07 00:18:53,2025-08-07 00:36:35,medical,Health,1795.0
76,Best strength training tools for teams,8,best,medium,completed,low,6.0,473.0,479.0,0.005,0.005479,2025-08-07 00:36:45.416199,,0,2025-08-07 00:18:58,2025-08-07 00:36:45,fitness,Health,2349.0
77,How does pilates work for remote teams?,8,how_to,medium,completed,low,9.0,438.0,447.0,0.005,0.005447,2025-08-07 00:36:53.516739,,0,2025-08-07 00:18:58,2025-08-07 00:36:53,fitness,Health,2384.0
78,How to strategize with strength training?,8,how_to,complex,completed,low,8.0,450.0,458.0,0.005,0.005458,2025-08-07 00:37:00.503684,,0,2025-08-07 00:18:58,2025-08-07 00:37:00,fitness,Health,2282.0
79,{service} pros and cons,8,review,medium,completed,low,6.0,589.0,595.0,0.005,0.005595,2025-08-07 00:37:07.437862,,0,2025-08-07 00:18:58,2025-08-07 00:37:07,fitness,Health,2677.0
80,How to choose the right strength training?,8,how_to,medium,completed,low,8.0,468.0,476.0,0.005,0.005476,2025-08-07 00:37:12.887749,,0,2025-08-07 00:18:58,2025-08-07 00:37:12,fitness,Health,2064.0
81,Complete guide to pilates,8,guide,complex,completed,low,5.0,439.0,444.0,0.005,0.005444,2025-08-07 00:37:19.467973,,0,2025-08-07 00:18:58,2025-08-07 00:37:19,fitness,Health,2108.0
82,Difference between {concept_a} and {concept_b},8,comparison,simple,completed,low,11.0,340.0,351.0,0.005,0.005351,2025-08-07 00:37:25.694326,,0,2025-08-07 00:18:58,2025-08-07 00:37:25,fitness,Health,1881.0
83,pilates alternatives comparison,8,comparison,simple,completed,low,5.0,343.0,348.0,0.005,0.005348,2025-08-07 00:37:36.747313,,0,2025-08-07 00:18:58,2025-08-07 00:37:36,fitness,Health,1653.0
84,training best practices guide,8,guide,simple,processing,,,,,,,,,0,2025-08-07 00:18:58,2025-08-07 00:37:36,fitness,Health,
85,How to implement with training?,8,how_to,simple,completed,low,6.0,348.0,354.0,0.005,0.005354,2025-08-07 00:39:54.768397,,0,2025-08-07 00:18:58,2025-08-07 00:39:54,fitness,Health,1983.0
86,What's the best fitness software?,8,best,simple,completed,low,7.0,370.0,377.0,0.005,0.005377,2025-08-07 00:40:01.616354,,0,2025-08-07 00:18:58,2025-08-07 00:40:01,fitness,Health,1940.0
87,How does pilates work for startups?,8,how_to,simple,completed,low,8.0,433.0,441.0,0.005,0.005441,2025-08-07 00:40:09.022536,,0,2025-08-07 00:18:58,2025-08-07 00:40:09,fitness,Health,2359.0
88,How does pilates work for enterprise-grade solutions?,8,how_to,complex,completed,low,10.0,281.0,291.0,0.005,0.005291,2025-08-07 00:40:13.878541,,0,2025-08-07 00:18:58,2025-08-07 00:40:13,fitness,Health,1683.0
89,{product} review: is it worth it?,8,review,medium,completed,low,10.0,478.0,488.0,0.005,0.005488,2025-08-07 00:40:27.232746,,0,2025-08-07 00:18:58,2025-08-07 00:40:27,fitness,Health,2484.0
90,How to optimize cardio for retention?,8,how_to,medium,completed,low,7.0,388.0,395.0,0.005,0.005395,2025-08-07 00:40:33.871610,,0,2025-08-07 00:18:58,2025-08-07 00:40:33,fitness,Health,2018.0
91,team collaboration vs automation comparison,14,comparison,medium,completed,low,5.0,400.0,405.0,0.005,0.005405,2025-08-07 00:40:39.004997,,0,2025-08-07 00:19:03,2025-08-07 00:40:39,saas,Business,2460.0
92,project management guide for beginners,14,guide,complex,completed,low,5.0,636.0,641.0,0.005,0.005641,2025-08-07 00:40:51.164708,,0,2025-08-07 00:19:03,2025-08-07 00:40:51,saas,Business,3183.0
93,What's the best customer management software?,14,best,simple,completed,low,8.0,508.0,516.0,0.005,0.005516,2025-08-07 00:41:00.617943,,0,2025-08-07 00:19:03,2025-08-07 00:41:00,saas,Business,2301.0
94,Best team collaboration platforms for small business,14,best,medium,completed,low,7.0,611.0,618.0,0.005,0.005618,2025-08-07 00:41:07.579757,,0,2025-08-07 00:19:03,2025-08-07 00:41:07,saas,Business,2985.0
95,{product_a} vs {product_b} comparison,14,comparison,complex,completed,low,10.0,662.0,672.0,0.005,0.005672,2025-08-07 00:41:17.623074,,0,2025-08-07 00:19:03,2025-08-07 00:41:17,saas,Business,3331.0
96,How to implement with enterprise?,14,how_to,simple,completed,low,6.0,359.0,365.0,0.005,0.005365,2025-08-07 00:41:22.115343,,0,2025-08-07 00:19:03,2025-08-07 00:41:22,saas,Business,2056.0
97,How does software work for beginners?,14,how_to,simple,completed,low,7.0,354.0,361.0,0.005,0.005361,2025-08-07 00:41:28.514789,,0,2025-08-07 00:19:03,2025-08-07 00:41:28,saas,Business,1786.0
98,How to choose the right project management?,14,how_to,medium,completed,low,8.0,385.0,393.0,0.005,0.005393,2025-08-07 00:41:35.579012,,0,2025-08-07 00:19:03,2025-08-07 00:41:35,saas,Business,2034.0
99,How to implement team collaboration strategy?,14,how_to,medium,completed,low,7.0,425.0,432.0,0.005,0.005432,2025-08-07 00:41:41.331607,,0,2025-08-07 00:19:03,2025-08-07 00:41:41,saas,Business,2320.0
100,How to start with project management?,14,how_to,simple,completed,low,7.0,424.0,431.0,0.005,0.005431,2025-08-07 00:41:46.469413,,0,2025-08-07 00:19:03,2025-08-07 00:41:46,saas,Business,2189.0
101,Difference between {concept_a} and {concept_b},17,comparison,medium,processing,,,,,,,,,0,2025-08-07 00:19:04,2025-08-07 00:41:46,ecommerce,E-commerce,
102,Difference between {concept_a} and {concept_b},17,comparison,medium,completed,low,11.0,301.0,312.0,0.005,0.005312,2025-08-07 00:42:03.431785,,0,2025-08-07 00:19:04,2025-08-07 00:42:03,ecommerce,E-commerce,1510.0
103,Comparing Amazon FBA solutions for regulatory compliance,17,comparison,complex,completed,low,9.0,359.0,368.0,0.005,0.005368,2025-08-07 00:42:10.551907,,0,2025-08-07 00:19:04,2025-08-07 00:42:10,ecommerce,E-commerce,2111.0
104,How to implement Amazon FBA strategy?,17,how_to,medium,completed,low,8.0,412.0,420.0,0.005,0.00542,2025-08-07 00:42:18.475590,,0,2025-08-07 00:19:04,2025-08-07 00:42:18,ecommerce,E-commerce,1994.0
105,{product_a} vs {product_b} comparison,17,comparison,simple,completed,low,10.0,386.0,396.0,0.005,0.005396,2025-08-07 00:42:29.244100,,0,2025-08-07 00:19:04,2025-08-07 00:42:29,ecommerce,E-commerce,1950.0
106,Comparing online shopping solutions for personal use,17,comparison,simple,completed,low,8.0,360.0,368.0,0.005,0.005368,2025-08-07 00:42:35.432770,,0,2025-08-07 00:19:04,2025-08-07 00:42:35,ecommerce,E-commerce,1944.0
107,How to optimize marketplace for success?,17,how_to,simple,completed,low,7.0,446.0,453.0,0.005,0.005453,2025-08-07 00:42:43.216388,,0,2025-08-07 00:19:04,2025-08-07 00:42:43,ecommerce,E-commerce,2509.0
108,{service} pros and cons,17,review,medium,completed,low,6.0,484.0,490.0,0.005,0.00549,2025-08-07 00:42:53.096189,,0,2025-08-07 00:19:04,2025-08-07 00:42:53,ecommerce,E-commerce,2346.0
109,How to use with Amazon FBA?,17,how_to,simple,completed,low,8.0,406.0,414.0,0.005,0.005414,2025-08-07 00:42:58.516125,,0,2025-08-07 00:19:04,2025-08-07 00:42:58,ecommerce,E-commerce,1993.0
110,How to implement Shopify strategy?,17,how_to,complex,completed,low,6.0,374.0,380.0,0.005,0.00538,2025-08-07 00:43:04.924830,,0,2025-08-07 00:19:04,2025-08-07 00:43:04,ecommerce,E-commerce,1955.0
111,Comparing budget travel solutions for small business,19,comparison,simple,completed,low,8.0,500.0,508.0,0.005,0.005508,2025-08-07 00:43:12.096475,,0,2025-08-07 00:19:04,2025-08-07 00:43:12,travel,Travel,2623.0
112,Which budget travel is the best for automation?,19,best,medium,completed,low,9.0,343.0,352.0,0.005,0.005352,2025-08-07 00:43:16.973986,,0,2025-08-07 00:19:04,2025-08-07 00:43:16,travel,Travel,1631.0
113,How to implement destination strategy?,19,how_to,simple,completed,low,6.0,472.0,478.0,0.005,0.005478,2025-08-07 00:43:24.616112,,0,2025-08-07 00:19:04,2025-08-07 00:43:24,travel,Travel,2482.0
114,User reviews of {platform},19,review,medium,completed,low,6.0,513.0,519.0,0.005,0.005519,2025-08-07 00:43:34.577283,,0,2025-08-07 00:19:04,2025-08-07 00:43:34,travel,Travel,2587.0
115,How to get started with luxury travel?,19,how_to,complex,completed,low,8.0,525.0,533.0,0.005,0.005533,2025-08-07 00:43:55.930548,,0,2025-08-07 00:19:04,2025-08-07 00:43:55,travel,Travel,2563.0
116,Best travel tools for professionals,19,best,simple,processing,,,,,,,,,0,2025-08-07 00:19:04,2025-08-07 00:43:55,travel,Travel,
117,How to get started with budget travel?,19,how_to,medium,completed,low,8.0,433.0,441.0,0.005,0.005441,2025-08-07 00:53:21.358814,,0,2025-08-07 00:19:04,2025-08-07 00:53:21,travel,Travel,1968.0
118,How does travel planning work for enterprise-grade solutions?,19,how_to,complex,completed,low,10.0,450.0,460.0,0.005,0.00546,2025-08-07 00:53:29.744993,,0,2025-08-07 00:19:04,2025-08-07 00:53:29,travel,Travel,2591.0
119,Difference between {concept_a} and {concept_b},19,comparison,medium,completed,low,11.0,250.0,261.0,0.005,0.005261,2025-08-07 00:53:34.194305,,0,2025-08-07 00:19:04,2025-08-07 00:53:34,travel,Travel,1389.0
120,Best tourism platforms for small business,19,best,simple,completed,low,6.0,501.0,507.0,0.005,0.005507,2025-08-07 00:53:40.814447,,0,2025-08-07 00:19:04,2025-08-07 00:53:40,travel,Travel,2386.0
121,Top 20 protein supplements in 2024,7,best,medium,completed,low,9.0,840.0,849.0,0.005,0.005849,2025-08-07 00:53:51.018118,,0,2025-08-07 00:23:26,2025-08-07 00:53:51,nutrition,Health,3219.0
122,Top 10 healthy eating in 2024,7,best,simple,completed,low,9.0,562.0,571.0,0.005,0.005571,2025-08-07 00:53:58.088348,,0,2025-08-07 00:23:26,2025-08-07 00:53:58,nutrition,Health,2300.0
123,How to implement diet strategy?,7,how_to,simple,completed,low,6.0,439.0,445.0,0.005,0.005445,2025-08-07 00:54:07.847307,,0,2025-08-07 00:23:26,2025-08-07 00:54:07,nutrition,Health,2118.0
124,How to optimize with protein supplements?,7,how_to,medium,completed,low,7.0,307.0,314.0,0.005,0.005314,2025-08-07 00:54:12.525774,,0,2025-08-07 00:23:26,2025-08-07 00:54:12,nutrition,Health,1686.0
125,How to implement healthy eating strategy?,7,how_to,simple,completed,low,7.0,372.0,379.0,0.005,0.005379,2025-08-07 00:54:17.428450,,0,2025-08-07 00:23:26,2025-08-07 00:54:17,nutrition,Health,1819.0
126,How to start with meal planning?,7,how_to,simple,completed,low,7.0,277.0,284.0,0.005,0.005284,2025-08-07 00:54:24.394844,,0,2025-08-07 00:23:26,2025-08-07 00:54:24,nutrition,Health,1399.0
127,Comparing weight loss solutions for multi-channel attribution,7,comparison,complex,completed,low,9.0,355.0,364.0,0.005,0.005364,2025-08-07 00:54:30.572151,,0,2025-08-07 00:23:26,2025-08-07 00:54:30,nutrition,Health,1980.0
128,What's the best nutrition software?,7,best,simple,completed,low,7.0,369.0,376.0,0.005,0.005376,2025-08-07 00:54:36.528958,,0,2025-08-07 00:23:26,2025-08-07 00:54:36,nutrition,Health,1985.0
129,In-depth organic food analysis,7,review,complex,completed,low,5.0,643.0,648.0,0.005,0.005648,2025-08-07 00:54:44.293132,,0,2025-08-07 00:23:26,2025-08-07 00:54:44,nutrition,Health,3098.0
130,weight loss alternatives comparison,7,comparison,medium,completed,low,4.0,539.0,543.0,0.005,0.005543,2025-08-07 00:54:50.284564,,0,2025-08-07 00:23:26,2025-08-07 00:54:50,nutrition,Health,2106.0
